2019-04-02T00:00:00Z, PROPRCP, 58, 66_647_24253
2019-04-03T00:00:00Z, PRCP, 0, 66_647_24253
2019-04-03T00:00:00Z, TMAX, 33, 66_647_24253
2019-04-03T00:00:00Z, TMIN, 20, 66_647_24253
2019-04-03T00:00:00Z, WNDDIR, 75, 66_647_24253
2019-04-03T00:00:00Z, WNDSPD, 3, 66_647_24253
2019-04-03T00:00:00Z, CLOUDC, 90, 66_647_24253
2019-04-03T00:00:00Z, HPRCP, 0, 66_647_24253
2019-04-03T00:00:00Z, HSUN, 2.4, 66_647_24253
2019-04-03T00:00:00Z, RFTMAX, 35, 66_647_24253
2019-04-03T00:00:00Z, RFTMIN, 21, 66_647_24253
2019-04-03T00:00:00Z, PROPRCP, 5, 66_647_24253
2019-03-31T00:00:00Z, PRCP, 0, 66_647_24241
2019-03-31T00:00:00Z, TMAX, 38, 66_647_24241
2019-03-31T00:00:00Z, TMIN, 23, 66_647_24241
2019-03-31T00:00:00Z, WNDDIR, 349, 66_647_24241
2019-03-31T00:00:00Z, WNDSPD, 2, 66_647_24241
2019-03-31T00:00:00Z, CLOUDC, 81, 66_647_24241
2019-03-31T00:00:00Z, HPRCP, 0, 66_647_24241
2019-03-31T00:00:00Z, HSUN, 2.7, 66_647_24241
2019-03-31T00:00:00Z, RFTMAX, 41, 66_647_24241
2019-03-31T00:00:00Z, RFTMIN, 24, 66_647_24241
2019-03-31T00:00:00Z, PROPRCP, 3, 66_647_24241
2019-04-01T00:00:00Z, PRCP, 0, 66_647_24241
2019-04-01T00:00:00Z, TMAX, 36, 66_647_24241
2019-04-01T00:00:00Z, TMIN, 23, 66_647_24241
2019-04-01T00:00:00Z, WNDDIR, 285, 66_647_24241
2019-04-01T00:00:00Z, WNDSPD, 2, 66_647_24241
2019-04-01T00:00:00Z, CLOUDC, 81, 66_647_24241
2019-04-01T00:00:00Z, HPRCP, 0, 66_647_24241
2019-04-01T00:00:00Z, HSUN, 2.9, 66_647_24241
2019-04-01T00:00:00Z, RFTMAX, 39, 66_647_24241
2019-04-01T00:00:00Z, RFTMIN, 26, 66_647_24241
2019-04-01T00:00:00Z, PROPRCP, 11, 66_647_24241
2019-04-02T00:00:00Z, PRCP, 17, 66_647_24241
2019-04-02T00:00:00Z, TMAX, 37, 66_647_24241
2019-04-02T00:00:00Z, TMIN, 23, 66_647_24241
2019-04-02T00:00:00Z, WNDDIR, 320, 66_647_24241
2019-04-02T00:00:00Z, WNDSPD, 2, 66_647_24241
2019-04-02T00:00:00Z, CLOUDC, 45, 66_647_24241
2019-04-02T00:00:00Z, HPRCP, 5.5, 66_647_24241
2019-04-02T00:00:00Z, HSUN, 6.7, 66_647_24241
2019-04-02T00:00:00Z, RFTMAX, 42, 66_647_24241
2019-04-02T00:00:00Z, RFTMIN, 25, 66_647_24241
2019-04-02T00:00:00Z, PROPRCP, 99, 66_647_24241
2019-04-03T00:00:00Z, PRCP, 12, 66_647_24241
2019-04-03T00:00:00Z, TMAX, 31, 66_647_24241
2019-04-03T00:00:00Z, TMIN, 22, 66_647_24241
2019-04-03T00:00:00Z, WNDDIR, 180, 66_647_24241
2019-04-03T00:00:00Z, WNDSPD, 2, 66_647_24241
2019-04-03T00:00:00Z, CLOUDC, 96, 66_647_24241
2019-04-03T00:00:00Z, HPRCP, 2, 66_647_24241
2019-04-03T00:00:00Z, HSUN, 0.6, 66_647_24241
2019-04-03T00:00:00Z, RFTMAX, 35, 66_647_24241
2019-04-03T00:00:00Z, RFTMIN, 25, 66_647_24241
2019-04-03T00:00:00Z, PROPRCP, 54, 66_647_24241
2019-04-04T00:00:00Z, PRCP, 0, 66_647_24241
2019-04-04T00:00:00Z, TMAX, 36, 66_647_24241
2019-04-04T00:00:00Z, TMIN, 21, 66_647_24241
2019-04-04T00:00:00Z, WNDDIR, 84, 66_647_24241
2019-04-04T00:00:00Z, WNDSPD, 3, 66_647_24241
2019-04-04T00:00:00Z, CLOUDC, 94, 66_647_24241
2019-04-04T00:00:00Z, HPRCP, 0, 66_647_24241
2019-04-04T00:00:00Z, HSUN, 1, 66_647_24241
2019-04-04T00:00:00Z, RFTMAX, 38, 66_647_24241
2019-04-04T00:00:00Z, RFTMIN, 23, 66_647_24241
2019-04-04T00:00:00Z, PROPRCP, 11, 66_647_24241
2019-03-30T00:00:00Z, PRCP, 0, 66_643_24172
2019-03-30T00:00:00Z, TMAX, 36, 66_643_24172
2019-03-30T00:00:00Z, TMIN, 22, 66_643_24172
2019-03-30T00:00:00Z, WNDDIR, 349, 66_643_24172
2019-03-30T00:00:00Z, WNDSPD, 2, 66_643_24172
2019-03-30T00:00:00Z, CLOUDC, 76, 66_643_24172
2019-03-30T00:00:00Z, HPRCP, 0, 66_643_24172
2019-03-30T00:00:00Z, HSUN, 4.4, 66_643_24172
2019-03-30T00:00:00Z, RFTMAX, 39, 66_643_24172
2019-03-30T00:00:00Z, RFTMIN, 23, 66_643_24172
2019-03-30T00:00:00Z, PROPRCP, 3, 66_643_24172
2019-03-31T00:00:00Z, PRCP, 0, 66_643_24172
2019-03-31T00:00:00Z, TMAX, 35, 66_643_24172
2019-03-31T00:00:00Z, TMIN, 21, 66_643_24172
2019-03-31T00:00:00Z, WNDDIR, 271, 66_643_24172
2019-03-31T00:00:00Z, WNDSPD, 2, 66_643_24172
2019-03-31T00:00:00Z, CLOUDC, 81, 66_643_24172
2019-03-31T00:00:00Z, HPRCP, 0, 66_643_24172
2019-03-31T00:00:00Z, HSUN, 4.1, 66_643_24172
2019-03-31T00:00:00Z, RFTMAX, 37, 66_643_24172
2019-03-31T00:00:00Z, RFTMIN, 23, 66_643_24172
2019-03-31T00:00:00Z, PROPRCP, 25, 66_643_24172
2019-04-01T00:00:00Z, PRCP, 16, 66_643_24172
2019-04-01T00:00:00Z, TMAX, 34, 66_643_24172
2019-04-01T00:00:00Z, TMIN, 22, 66_643_24172
2019-04-01T00:00:00Z, WNDDIR, 307, 66_643_24172
2019-04-01T00:00:00Z, WNDSPD, 2, 66_643_24172
2019-04-01T00:00:00Z, CLOUDC, 44, 66_643_24172
2019-04-01T00:00:00Z, HPRCP, 5, 66_643_24172
2019-04-01T00:00:00Z, HSUN, 7.8, 66_643_24172
2019-04-01T00:00:00Z, RFTMAX, 40, 66_643_24172
2019-04-01T00:00:00Z, RFTMIN, 22, 66_643_24172
2019-04-01T00:00:00Z, PROPRCP, 62, 66_643_24172
2019-04-02T00:00:00Z, PRCP, 15, 66_643_24172
2019-04-02T00:00:00Z, TMAX, 30, 66_643_24172
2019-04-02T00:00:00Z, TMIN, 20, 66_643_24172
2019-04-02T00:00:00Z, WNDDIR, 222, 66_643_24172
2019-04-02T00:00:00Z, WNDSPD, 2, 66_643_24172
2019-04-02T00:00:00Z, CLOUDC, 93, 66_643_24172
2019-04-02T00:00:00Z, HPRCP, 2.5, 66_643_24172
2019-04-02T00:00:00Z, HSUN, 2, 66_643_24172
2019-04-02T00:00:00Z, RFTMAX, 36, 66_643_24172
2019-04-02T00:00:00Z, RFTMIN, 22, 66_643_24172
2019-04-02T00:00:00Z, PROPRCP, 58, 66_643_24172
2019-04-03T00:00:00Z, PRCP, 0, 66_643_24172
2019-04-03T00:00:00Z, TMAX, 33, 66_643_24172
2019-04-03T00:00:00Z, TMIN, 20, 66_643_24172
2019-04-03T00:00:00Z, WNDDIR, 75, 66_643_24172
2019-04-03T00:00:00Z, WNDSPD, 3, 66_643_24172
2019-04-03T00:00:00Z, CLOUDC, 90, 66_643_24172
2019-04-03T00:00:00Z, HPRCP, 0, 66_643_24172
2019-04-03T00:00:00Z, HSUN, 2.4, 66_643_24172
2019-04-03T00:00:00Z, RFTMAX, 35, 66_643_24172
2019-04-03T00:00:00Z, RFTMIN, 21, 66_643_24172
2019-04-03T00:00:00Z, PROPRCP, 5, 66_643_24172
2019-03-30T00:00:00Z, PRCP, 0, 66_655_24559
2019-03-30T00:00:00Z, TMAX, 36, 66_655_24559
2019-03-30T00:00:00Z, TMIN, 22, 66_655_24559
2019-03-30T00:00:00Z, WNDDIR, 349, 66_655_24559
2019-03-30T00:00:00Z, WNDSPD, 2, 66_655_24559
2019-03-30T00:00:00Z, CLOUDC, 76, 66_655_24559
2019-03-30T00:00:00Z, HPRCP, 0, 66_655_24559
2019-03-30T00:00:00Z, HSUN, 4.4, 66_655_24559
2019-03-30T00:00:00Z, RFTMAX, 39, 66_655_24559
2019-03-30T00:00:00Z, RFTMIN, 23, 66_655_24559
2019-03-30T00:00:00Z, PROPRCP, 3, 66_655_24559
2019-03-31T00:00:00Z, PRCP, 0, 66_655_24559
2019-03-31T00:00:00Z, TMAX, 35, 66_655_24559
2019-03-31T00:00:00Z, TMIN, 21, 66_655_24559
2019-03-31T00:00:00Z, WNDDIR, 271, 66_655_24559
2019-03-31T00:00:00Z, WNDSPD, 2, 66_655_24559
2019-03-31T00:00:00Z, CLOUDC, 81, 66_655_24559
2019-03-31T00:00:00Z, HPRCP, 0, 66_655_24559
2019-03-31T00:00:00Z, HSUN, 4.1, 66_655_24559
2019-03-31T00:00:00Z, RFTMAX, 37, 66_655_24559
2019-03-31T00:00:00Z, RFTMIN, 23, 66_655_24559
2019-03-31T00:00:00Z, PROPRCP, 25, 66_655_24559
2019-04-01T00:00:00Z, PRCP, 16, 66_655_24559
2019-04-01T00:00:00Z, TMAX, 34, 66_655_24559
2019-04-01T00:00:00Z, TMIN, 22, 66_655_24559
2019-04-01T00:00:00Z, WNDDIR, 307, 66_655_24559
2019-04-01T00:00:00Z, WNDSPD, 2, 66_655_24559
2019-04-01T00:00:00Z, CLOUDC, 44, 66_655_24559
2019-04-01T00:00:00Z, HPRCP, 5, 66_655_24559
2019-04-01T00:00:00Z, HSUN, 7.8, 66_655_24559
2019-04-01T00:00:00Z, RFTMAX, 40, 66_655_24559
2019-04-01T00:00:00Z, RFTMIN, 22, 66_655_24559
2019-04-01T00:00:00Z, PROPRCP, 62, 66_655_24559
2019-04-02T00:00:00Z, PRCP, 15, 66_655_24559
2019-04-02T00:00:00Z, TMAX, 30, 66_655_24559
2019-04-02T00:00:00Z, TMIN, 20, 66_655_24559
2019-04-02T00:00:00Z, WNDDIR, 222, 66_655_24559
2019-04-02T00:00:00Z, WNDSPD, 2, 66_655_24559
2019-04-02T00:00:00Z, CLOUDC, 93, 66_655_24559
2019-04-02T00:00:00Z, HPRCP, 2.5, 66_655_24559
2019-04-02T00:00:00Z, HSUN, 2, 66_655_24559
2019-04-02T00:00:00Z, RFTMAX, 36, 66_655_24559
2019-04-02T00:00:00Z, RFTMIN, 22, 66_655_24559
2019-04-02T00:00:00Z, PROPRCP, 58, 66_655_24559
2019-04-03T00:00:00Z, PRCP, 0, 66_655_24559
2019-04-03T00:00:00Z, TMAX, 33, 66_655_24559
2019-04-03T00:00:00Z, TMIN, 20, 66_655_24559
2019-04-03T00:00:00Z, WNDDIR, 75, 66_655_24559
2019-04-03T00:00:00Z, WNDSPD, 3, 66_655_24559
2019-04-03T00:00:00Z, CLOUDC, 90, 66_655_24559
2019-04-03T00:00:00Z, HPRCP, 0, 66_655_24559
2019-04-03T00:00:00Z, HSUN, 2.4, 66_655_24559
2019-04-03T00:00:00Z, RFTMAX, 35, 66_655_24559
2019-04-03T00:00:00Z, RFTMIN, 21, 66_655_24559
2019-04-03T00:00:00Z, PROPRCP, 5, 66_655_24559
2019-03-29T00:00:00Z, PRCP, 0, 66_655_24538
2019-03-29T00:00:00Z, TMAX, 36, 66_655_24538
2019-03-29T00:00:00Z, TMIN, 21, 66_655_24538
2019-03-29T00:00:00Z, WNDDIR, 358, 66_655_24538
2019-03-29T00:00:00Z, WNDSPD, 2, 66_655_24538
2019-03-29T00:00:00Z, CLOUDC, 72, 66_655_24538
2019-03-29T00:00:00Z, HPRCP, 0, 66_655_24538
2019-03-29T00:00:00Z, HSUN, 5, 66_655_24538
2019-03-29T00:00:00Z, RFTMAX, 40, 66_655_24538
